timestamp,packet_size,src_mac,dst_mac,ethertype
1112701132.584606,60,08:00:06:6b:8b:fb,01:0e:cf:00:00:00,0x8892
1112701132.587142,108,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.684271,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.686552,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.710433,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.712420,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.714396,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.716379,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.718396,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.720389,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.722383,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.724382,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.726383,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.728537,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.730277,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.730386,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.732240,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.732387,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.734241,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.734384,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.736250,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.736391,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.738238,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.738391,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.740282,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.740392,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.742243,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.742505,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.744228,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.744393,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.746230,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.746393,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.748230,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.748395,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.750270,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.750395,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.752231,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.752397,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.754239,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.754398,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.756238,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.756498,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.758229,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.758399,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.760265,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.760403,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.762227,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.762410,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.764237,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.764411,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.766246,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.766404,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.768234,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.768405,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.770267,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.770407,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.772229,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.772407,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.774225,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.774407,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.776227,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.776412,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.778225,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.778422,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.780264,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.780416,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.782241,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.782416,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
